run_key,phase_label,phase,target_epochs,status,actual_run_dir,packaged_dir
s_A2_lr3e4_short13_B1,A1,a1,10,FOUND,/root/shared-nvme/LADD_public_p1/runs_public/ogsod/hbb/formal_nomosaic_20260528/ladd/yolo11s/cap2/ladd_hbb_ogsod11s_formal_nomosaic_yolo11s_cap2_s0_diag_a2select_s_s0_a2lr3e4_short13_b1_a1_e10_b64_s0_gpu0,runs/s_A2_lr3e4_short13_B1_A1
s_A2_lr3e4_short13_B1,A2,a2,13,FOUND,/root/shared-nvme/LADD_public_p1/runs_public/ogsod/hbb/formal_nomosaic_20260528/ladd/yolo11s/cap2/ladd_hbb_ogsod11s_formal_nomosaic_yolo11s_cap2_s0_diag_a2select_s_s0_a2lr3e4_short13_b1_a2_e13_b64_s0_gpu0,runs/s_A2_lr3e4_short13_B1_A2
s_A2_lr3e4_short13_B1,B1,b,1,FOUND,/root/shared-nvme/LADD_public_p1/runs_public/ogsod/hbb/formal_nomosaic_20260528/ladd/yolo11s/cap2/ladd_hbb_ogsod11s_formal_nomosaic_yolo11s_cap2_s0_diag_a2select_s_s0_a2lr3e4_short13_b1_b_e1_b64_s0_gpu0,runs/s_A2_lr3e4_short13_B1_B1
s_A2_lr1e4_short15_B1,A1,a1,10,FOUND,/root/shared-nvme/LADD_public_p1/runs_public/ogsod/hbb/formal_nomosaic_20260528/ladd/yolo11s/cap2/ladd_hbb_ogsod11s_formal_nomosaic_yolo11s_cap2_s0_diag_a2select_s_s0_a2lr1e4_short15_b1_a1_e10_b64_s0_gpu1,runs/s_A2_lr1e4_short15_B1_A1
s_A2_lr1e4_short15_B1,A2,a2,15,FOUND,/root/shared-nvme/LADD_public_p1/runs_public/ogsod/hbb/formal_nomosaic_20260528/ladd/yolo11s/cap2/ladd_hbb_ogsod11s_formal_nomosaic_yolo11s_cap2_s0_diag_a2select_s_s0_a2lr1e4_short15_b1_a2_e15_b64_s0_gpu1,runs/s_A2_lr1e4_short15_B1_A2
s_A2_lr1e4_short15_B1,B1,b,1,FOUND,/root/shared-nvme/LADD_public_p1/runs_public/ogsod/hbb/formal_nomosaic_20260528/ladd/yolo11s/cap2/ladd_hbb_ogsod11s_formal_nomosaic_yolo11s_cap2_s0_diag_a2select_s_s0_a2lr1e4_short15_b1_b_e1_b64_s0_gpu1,runs/s_A2_lr1e4_short15_B1_B1
s_A2_lr3e4_short13_Bdet200,A1,a1,10,FOUND,/root/shared-nvme/LADD_public_p1/runs_public/ogsod/hbb/formal_nomosaic_20260528/ladd/yolo11s/cap2/ladd_hbb_ogsod11s_formal_nomosaic_yolo11s_cap2_s0_diag_a2select_s_s0_a2lr3e4_short13_bdetonly200_a1_e10_b64_s0_gpu0,runs/s_A2_lr3e4_short13_Bdet200_A1
s_A2_lr3e4_short13_Bdet200,A2,a2,13,FOUND,/root/shared-nvme/LADD_public_p1/runs_public/ogsod/hbb/formal_nomosaic_20260528/ladd/yolo11s/cap2/ladd_hbb_ogsod11s_formal_nomosaic_yolo11s_cap2_s0_diag_a2select_s_s0_a2lr3e4_short13_bdetonly200_a2_e13_b64_s0_gpu0,runs/s_A2_lr3e4_short13_Bdet200_A2
s_A2_lr3e4_short13_Bdet200,B200,b,200,FOUND,/root/shared-nvme/LADD_public_p1/runs_public/ogsod/hbb/formal_nomosaic_20260528/ladd/yolo11s/cap2/ladd_hbb_ogsod11s_formal_nomosaic_yolo11s_cap2_s0_diag_a2select_s_s0_a2lr3e4_short13_bdetonly200_b_e200_b64_s0_gpu0,runs/s_A2_lr3e4_short13_Bdet200_B200
m_A2_lr3e4_full50_retry3_B1,A1,a1,10,FOUND,/root/shared-nvme/LADD_public_p1/runs_public/ogsod/hbb/formal_nomosaic_20260528/ladd/yolo11m/cap2/ladd_hbb_ogsod11m_formal_nomosaic_yolo11m_cap2_s0_diag_a2damage_m_s0_a2lr3e4_b1_retry3_a1_e10_b32_s0_gpu1,runs/m_A2_lr3e4_full50_retry3_B1_A1
m_A2_lr3e4_full50_retry3_B1,A2,a2,50,FOUND,/root/shared-nvme/LADD_public_p1/runs_public/ogsod/hbb/formal_nomosaic_20260528/ladd/yolo11m/cap2/ladd_hbb_ogsod11m_formal_nomosaic_yolo11m_cap2_s0_diag_a2damage_m_s0_a2lr3e4_b1_retry3_a2_e50_b32_s0_gpu1,runs/m_A2_lr3e4_full50_retry3_B1_A2
m_A2_lr3e4_full50_retry3_B1,B1,b,1,FOUND,/root/shared-nvme/LADD_public_p1/runs_public/ogsod/hbb/formal_nomosaic_20260528/ladd/yolo11m/cap2/ladd_hbb_ogsod11m_formal_nomosaic_yolo11m_cap2_s0_diag_a2damage_m_s0_a2lr3e4_b1_retry3_b_e1_b32_s0_gpu1,runs/m_A2_lr3e4_full50_retry3_B1_B1
m_A2_short10_B1,A1,a1,10,FOUND,/root/shared-nvme/LADD_public_p1/runs_public/ogsod/hbb/formal_nomosaic_20260528/ladd/yolo11m/cap2/ladd_hbb_ogsod11m_formal_nomosaic_yolo11m_cap2_s0_diag_a2select_m_s0_a2short10_b1_a1_e10_b32_s0_gpu0,runs/m_A2_short10_B1_A1
m_A2_short10_B1,A2,a2,10,FOUND,/root/shared-nvme/LADD_public_p1/runs_public/ogsod/hbb/formal_nomosaic_20260528/ladd/yolo11m/cap2/ladd_hbb_ogsod11m_formal_nomosaic_yolo11m_cap2_s0_diag_a2select_m_s0_a2short10_b1_a2_e10_b32_s0_gpu0,runs/m_A2_short10_B1_A2
m_A2_short10_B1,B1,b,1,FOUND,/root/shared-nvme/LADD_public_p1/runs_public/ogsod/hbb/formal_nomosaic_20260528/ladd/yolo11m/cap2/ladd_hbb_ogsod11m_formal_nomosaic_yolo11m_cap2_s0_diag_a2select_m_s0_a2short10_b1_b_e1_b32_s0_gpu0,runs/m_A2_short10_B1_B1
m_A2_lr3e4_short10_B1,A1,a1,10,FOUND,/root/shared-nvme/LADD_public_p1/runs_public/ogsod/hbb/formal_nomosaic_20260528/ladd/yolo11m/cap2/ladd_hbb_ogsod11m_formal_nomosaic_yolo11m_cap2_s0_diag_a2select_m_s0_a2lr3e4_short10_b1_a1_e10_b32_s0_gpu1,runs/m_A2_lr3e4_short10_B1_A1
m_A2_lr3e4_short10_B1,A2,a2,10,FOUND,/root/shared-nvme/LADD_public_p1/runs_public/ogsod/hbb/formal_nomosaic_20260528/ladd/yolo11m/cap2/ladd_hbb_ogsod11m_formal_nomosaic_yolo11m_cap2_s0_diag_a2select_m_s0_a2lr3e4_short10_b1_a2_e10_b32_s0_gpu1,runs/m_A2_lr3e4_short10_B1_A2
m_A2_lr3e4_short10_B1,B1,b,1,FOUND,/root/shared-nvme/LADD_public_p1/runs_public/ogsod/hbb/formal_nomosaic_20260528/ladd/yolo11m/cap2/ladd_hbb_ogsod11m_formal_nomosaic_yolo11m_cap2_s0_diag_a2select_m_s0_a2lr3e4_short10_b1_b_e1_b32_s0_gpu1,runs/m_A2_lr3e4_short10_B1_B1
