server,source_batch,method,run_key,rows,latest_epoch,latest_map50,latest_map5095,best_map5095,best_epoch,late20_map5095,latest_delta_vs_detonly,late20_delta_vs_detonly,latest_delta_vs_plain,late20_delta_vs_plain,status,mainline_evidence_allowed,rank_d_neg_cap,alpha_s_rec,alpha_kd,lambda_reach,student_branch_mode,reach_input_mode,validation_purpose,note
ladd3090-zw1,current_evidence_20260625_1115,detonly_control_yoloinit,detonly,580,580,0.79099,0.52443,0.52468,578,0.52325,0.00000,0.00000,-0.01704,-0.01720,LOW_PRIORITY,yes,,0.0,0.0,0.0,,,same-machine same-pipeline YOLO-init detector-only control; all mainline candidates should compare against this control on the same server.,running control
ladd3090-zw1,current_evidence_20260625_1115,dynamic_plain_yoloinit,plain,364,364,0.74929,0.48611,0.48623,363,0.48351,0.01704,0.01720,0.00000,0.00000,PROMISING_EARLY,yes,,0.1,1.0,1.0,,,method-search evidence; inspect args/results for exact role.,running plain anchor; current strongest conceptual baseline
ladd3090-zw1,current_evidence_20260625_1115,dynamic_singleproj_yoloinit,singleproj,463,463,0.77874,0.51017,0.51017,463,0.50784,0.01517,0.01450,-0.00067,-0.00066,PROMISING_EARLY,yes,,0.0,1.0,1.0,,,student branch single-projection ablation; checks whether split student projection is unnecessary or conflicts with reach/KD.,running; positive vs det-only but below plain at matched overlap
ladd3090-zw1,current_evidence_20260625_1115,dynamic_wo_s_rec_yoloinit,wo_s_rec,492,492,0.78690,0.51945,0.51945,492,0.51681,0.01608,0.01564,-0.00310,-0.00324,PROMISING_EARLY,yes,,0.0,1.0,1.0,,,student reconstruction ablation; checks whether student_rec drags the student shared representation and hurts AP.,running; positive vs det-only but below plain at matched overlap
ladd3090-zw1,current_evidence_20260625_1115,dynamic_reach_rawinput_yoloinit,reach_rawinput,340,340,0.73893,0.47795,0.47795,340,0.47502,0.01513,0.01547,-0.00112,0.00004,PROMISING_EARLY,yes,,0.1,1.0,1.0,,,reach/KD input mode or raw/projected-raw source ablation; tests whether adapter/projection choice explains gains.,"running; close to plain, tests raw input for reach"
ladd3090-zw1,current_evidence_20260625_1115,dynamic_capR2_yoloinit,capR2,135,135,0.61878,0.37122,0.37122,135,0.36640,0.00484,0.00527,0.00000,0.00000,WATCH,yes,,0.1,1.0,1.0,,,capR=2 diagnostic; tests whether reach negative cap is actually active and improves stability.,"running; early, weak positive vs det-only"
ladd3090-zw1,current_evidence_20260625_1115,dynamic_capR4_yoloinit,capR4,138,138,0.62175,0.37135,0.37135,138,0.36617,0.00326,0.00334,-0.00192,-0.00176,WATCH,yes,,0.1,1.0,1.0,,,capR=4/no-cap-ish diagnostic; compares against capR=2 to isolate cap effect.,"running; early, cap-disabled-ish control"
ladd3090-zw1,current_evidence_20260625_1115,dynamic_plain_detach_reach_probe_yoloinit,detach_probe,10,10,0.27400,0.11505,0.11505,10,0.05620,0.01094,-0.00447,0.00373,-0.00437,pre100,yes,,0.0333333333333333,0.3333333333333333,1.0,,,reach-gradient detach diagnostic; tests whether reach loss should stop before student backbone/probe.,running but very early; probe gradient diagnostic
ladd3090-zw1,current_evidence_20260625_1115,combo_singleproj_raw_STOPPED,combo_singleproj_raw_STOPPED,40,40,0.49701,0.26136,0.26136,40,0.21718,0.00548,0.00161,0.00192,0.00145,pre100,no,,0.0,1.0,1.0,,,student branch single-projection ablation; checks whether split student projection is unnecessary or conflicts with reach/KD.,stopped diagnostic combo; do not use as main evidence
ladd3090-zw1,current_evidence_20260625_1115,combo_raw_wo_srec_STOPPED,combo_raw_wo_srec_STOPPED,43,43,0.50827,0.26974,0.26974,43,0.23043,0.00354,0.00147,0.00192,0.00184,pre100,no,,0.0,1.0,1.0,,,student reconstruction ablation; checks whether student_rec drags the student shared representation and hurts AP.,stopped diagnostic combo; do not use as main evidence
