experiment_line,protocol_id,schedule_class,role,claim_usable,num_runs,families,methods,servers
baseline_reference,historical_mosaic_mainline,full_800,baseline,partial,4,baseline:4,rgb_baseline:2;sar_baseline:2,ladd90:4
cclkd_reproduction,cclkd_paper_mosaic400,paper_400,archive_or_invalid,no,17,cclkd_yolo11_or_diag:17,cclkd:17,dual4090_old:17
cclkd_reproduction,cclkd_paper_mosaic400,paper_400,diagnostic,partial,7,cclkd_yolo11_or_diag:7,cclkd:7,ladd90:7
cclkd_reproduction,formal_nomosaic_compressed,compressed,diagnostic,partial,25,cclkd_yolo11_or_diag:25,cclkd:25,ladd4090:25
cclkd_reproduction,smoke_probe_partial,smoke_probe_partial,archive_or_invalid,no,3,cclkd_yolo11_or_diag:3,cclkd:3,dual4090_old:3
cclkd_reproduction,smoke_probe_partial,smoke_probe_partial,diagnostic,partial,2,cclkd_yolov5x:2,cclkd:2,unknown:2
cclkd_reproduction,unknown_protocol,compressed,cclkd_reproduction,partial,4,cclkd_yolov5x:4,cclkd:4,unknown:4
cclkd_reproduction,unknown_protocol,compressed,diagnostic,partial,20,cclkd_yolov5x:20,cclkd:20,unknown:16;server117:4
cclkd_reproduction,unknown_protocol,unknown,diagnostic,partial,3,cclkd_yolov5x:2;cclkd_yolo11_or_diag:1,cclkd:3,unknown:3
comparison_methods,formal_nomosaic_800,full_800,comparison,yes,5,comparison:5,fgd:3;hallucidet:2,ladd4090:3;ladd90:2
comparison_methods,formal_nomosaic_800,full_800,diagnostic,partial,12,comparison:12,fgd:4;hallucidet:4;ld:4,ladd4090:12
comparison_methods,smoke_probe_partial,smoke_probe_partial,diagnostic,partial,17,comparison:17,hallucidet:14;fgd:2;ld:1,autodl:10;ladd4090:7
ladd_mainline_diagnosis,formal_nomosaic_800,full_800,diagnostic,partial,6,ladd:6,ladd:6,ladd4090:6
ladd_mainline_diagnosis,formal_nomosaic_800,full_800,mainline_candidate,yes,30,ladd:30,ladd:30,ladd4090:12;autodl:9;ladd90:9
ladd_mainline_diagnosis,formal_nomosaic_compressed,compressed,diagnostic,partial,89,ladd:89,ladd:87;ld:2,ladd4090:82;ladd90:4;autodl:3
ladd_mainline_diagnosis,historical_mosaic_mainline,compressed,diagnostic,partial,6,ladd:6,ladd:6,ladd90:6
ladd_mainline_diagnosis,historical_mosaic_mainline,full_800,diagnostic,partial,12,ladd:12,ladd:12,ladd90:12
ladd_mainline_diagnosis,smoke_probe_partial,smoke_probe_partial,diagnostic,partial,195,ladd:195,ladd:195,ladd4090:167;autodl:18;ladd90:10
ladd_mainline_diagnosis,unknown_protocol,unknown,diagnostic,partial,1,ladd:1,ladd:1,unknown:1
